,Activity
7659,STANDING
4344,WALKING_UPSTAIRS
2981,WALKING
9651,LAYING
4148,WALKING_UPSTAIRS
3395,WALKING_UPSTAIRS
6852,SITTING
2294,LAYING
5168,LAYING
613,WALKING
7953,WALKING_UPSTAIRS
8118,STANDING
799,WALKING_DOWNSTAIRS
810,WALKING_DOWNSTAIRS
8698,WALKING_UPSTAIRS
447,WALKING
8561,STANDING
898,LAYING
1332,STANDING
6854,SITTING
9142,WALKING
8735,STANDING
4186,STANDING
4683,WALKING_UPSTAIRS
3219,WALKING_UPSTAIRS
5512,STANDING
3171,WALKING
1589,WALKING_DOWNSTAIRS
9306,WALKING
5534,SITTING
8849,WALKING_UPSTAIRS
506,WALKING_UPSTAIRS
5275,STANDING
9679,WALKING
5782,LAYING
9258,SITTING
9148,WALKING
5731,SITTING
5016,WALKING_DOWNSTAIRS
8723,STANDING
6572,WALKING
9511,WALKING_DOWNSTAIRS
146,WALKING_DOWNSTAIRS
8336,LAYING
9188,WALKING_UPSTAIRS
4868,WALKING_DOWNSTAIRS
2947,LAYING
5831,WALKING_DOWNSTAIRS
1344,SITTING
9836,LAYING
3241,STANDING
9835,LAYING
213,LAYING
4971,LAYING
750,LAYING
2676,WALKING_DOWNSTAIRS
8402,WALKING_UPSTAIRS
3877,LAYING
5285,STANDING
299,WALKING_DOWNSTAIRS
6652,STANDING
8379,WALKING_DOWNSTAIRS
3518,LAYING
6260,STANDING
7375,STANDING
1206,SITTING
4322,WALKING
8239,WALKING_UPSTAIRS
5372,LAYING
8679,WALKING_DOWNSTAIRS
4097,LAYING
5970,LAYING
6702,LAYING
181,STANDING
2926,SITTING
4450,LAYING
7952,WALKING_UPSTAIRS
9470,LAYING
7287,WALKING
5641,WALKING_DOWNSTAIRS
1622,WALKING_UPSTAIRS
2094,SITTING
3703,LAYING
3467,SITTING
6569,WALKING
2725,STANDING
7066,WALKING
3061,STANDING
7523,STANDING
4869,WALKING_DOWNSTAIRS
2746,SITTING
6025,WALKING_DOWNSTAIRS
8985,WALKING
8599,SITTING
4123,WALKING
832,WALKING_UPSTAIRS
7797,WALKING_UPSTAIRS
5038,WALKING_DOWNSTAIRS
36,SITTING
6430,WALKING_DOWNSTAIRS
9192,WALKING_UPSTAIRS
6628,STANDING
6086,STANDING
7303,WALKING_DOWNSTAIRS
8011,SITTING
2066,STANDING
3855,SITTING
7820,STANDING
9255,SITTING
4680,WALKING_UPSTAIRS
1841,LAYING
3212,WALKING_DOWNSTAIRS
2436,SITTING
9089,SITTING
6324,SITTING
2683,WALKING_UPSTAIRS
2361,WALKING_UPSTAIRS
6491,SITTING
7794,WALKING_UPSTAIRS
8687,WALKING_UPSTAIRS
5498,STANDING
1250,WALKING
7926,WALKING_DOWNSTAIRS
9915,WALKING_UPSTAIRS
9906,WALKING_UPSTAIRS
93,WALKING
2781,LAYING
9280,LAYING
6367,LAYING
2821,WALKING
3669,SITTING
9996,LAYING
6666,SITTING
10153,SITTING
9620,SITTING
10182,LAYING
4134,WALKING_DOWNSTAIRS
4560,STANDING
3431,STANDING
283,WALKING
5840,WALKING_UPSTAIRS
1551,WALKING
6594,WALKING_DOWNSTAIRS
4200,STANDING
7402,SITTING
677,WALKING_UPSTAIRS
8206,WALKING
7996,SITTING
971,WALKING_UPSTAIRS
1908,STANDING
4656,WALKING_DOWNSTAIRS
6870,LAYING
4117,WALKING
6805,STANDING
1567,WALKING
8224,WALKING_DOWNSTAIRS
6581,WALKING_DOWNSTAIRS
4923,SITTING
2539,WALKING_UPSTAIRS
4127,WALKING
10032,WALKING
4939,SITTING
3959,WALKING_UPSTAIRS
9358,WALKING_DOWNSTAIRS
4955,LAYING
3905,WALKING
1534,LAYING
1114,WALKING_DOWNSTAIRS
9278,LAYING
6152,LAYING
1865,WALKING
8249,WALKING_UPSTAIRS
6402,WALKING_DOWNSTAIRS
3356,WALKING
466,WALKING_DOWNSTAIRS
3433,STANDING
446,WALKING
827,WALKING_UPSTAIRS
32,SITTING
2571,SITTING
370,STANDING
8352,WALKING
5219,WALKING_DOWNSTAIRS
1216,LAYING
4818,WALKING
2438,SITTING
2915,SITTING
9297,LAYING
1974,LAYING
1025,SITTING
6198,WALKING_DOWNSTAIRS
7226,SITTING
8281,STANDING
7713,LAYING
2039,WALKING_UPSTAIRS
4406,SITTING
3068,STANDING
10119,STANDING
2699,WALKING_UPSTAIRS
6042,WALKING_UPSTAIRS
6309,SITTING
3875,LAYING
4228,SITTING
5531,SITTING
449,WALKING
5872,STANDING
3820,STANDING
3475,SITTING
7228,SITTING
1473,WALKING_UPSTAIRS
1066,LAYING
257,WALKING
7290,WALKING
550,STANDING
8796,LAYING
321,WALKING_UPSTAIRS
1768,STANDING
8737,STANDING
2899,STANDING
5525,SITTING
5734,SITTING
608,LAYING
8160,SITTING
6333,LAYING
1554,WALKING
10097,WALKING_UPSTAIRS
3289,SITTING
3040,WALKING_UPSTAIRS
793,WALKING
3540,WALKING
2909,SITTING
474,WALKING_DOWNSTAIRS
3634,STANDING
1892,WALKING_UPSTAIRS
8980,WALKING
7069,WALKING
8360,WALKING
1020,SITTING
9066,STANDING
6231,WALKING_UPSTAIRS
6030,WALKING_UPSTAIRS
4160,WALKING_DOWNSTAIRS
8563,STANDING
6184,WALKING
3352,WALKING
3594,WALKING_UPSTAIRS
568,SITTING
348,STANDING
5350,LAYING
1989,WALKING
598,LAYING
5599,WALKING
2445,LAYING
4224,SITTING
6937,WALKING_DOWNSTAIRS
1368,SITTING
340,WALKING_DOWNSTAIRS
867,STANDING
4769,LAYING
10085,WALKING_UPSTAIRS
913,LAYING
1023,SITTING
834,WALKING_UPSTAIRS
2718,STANDING
3327,LAYING
4137,WALKING_DOWNSTAIRS
6481,STANDING
406,LAYING
9559,WALKING_DOWNSTAIRS
5450,WALKING_UPSTAIRS
8617,LAYING
2335,WALKING_DOWNSTAIRS
9455,LAYING
429,LAYING
9085,SITTING
187,STANDING
5595,WALKING
9808,SITTING
8295,SITTING
3996,STANDING
1547,LAYING
8790,LAYING
1454,WALKING_UPSTAIRS
4244,SITTING
6832,STANDING
9203,STANDING
5476,STANDING
7816,WALKING_UPSTAIRS
891,SITTING
9986,LAYING
3796,STANDING
5087,STANDING
7864,SITTING
9171,WALKING_DOWNSTAIRS
9195,WALKING_UPSTAIRS
9406,STANDING
8392,WALKING_UPSTAIRS
916,LAYING
8331,LAYING
4831,WALKING_DOWNSTAIRS
75,LAYING
5136,SITTING
1920,STANDING
28,SITTING
4797,LAYING
8017,SITTING
7826,STANDING
868,STANDING
6156,LAYING
970,WALKING_UPSTAIRS
2322,WALKING
5834,WALKING_UPSTAIRS
8808,WALKING
2467,WALKING
3853,SITTING
4184,STANDING
2380,WALKING_UPSTAIRS
2545,STANDING
3908,WALKING
7159,WALKING_UPSTAIRS
8230,WALKING_UPSTAIRS
2431,SITTING
5287,STANDING
2043,WALKING_UPSTAIRS
3437,STANDING
4983,LAYING
3640,STANDING
9398,STANDING
7580,WALKING
5398,WALKING
399,SITTING
7328,WALKING_UPSTAIRS
3329,LAYING
6335,LAYING
260,WALKING
2930,SITTING
7687,SITTING
6982,STANDING
1452,WALKING_UPSTAIRS
7032,LAYING
1491,STANDING
74,LAYING
6916,WALKING
6502,SITTING
7057,LAYING
8650,WALKING
4505,WALKING_DOWNSTAIRS
809,WALKING_DOWNSTAIRS
7745,WALKING
7131,WALKING_UPSTAIRS
10053,WALKING_DOWNSTAIRS
1100,WALKING
7350,WALKING_UPSTAIRS
6687,LAYING
4084,LAYING
4102,WALKING
9943,STANDING
7843,STANDING
3694,LAYING
3882,LAYING
4895,STANDING
5838,WALKING_UPSTAIRS
1572,WALKING
3349,WALKING
7645,WALKING_UPSTAIRS
9481,WALKING
10291,WALKING_UPSTAIRS
6207,WALKING_DOWNSTAIRS
8311,LAYING
5082,STANDING
4811,WALKING
4819,WALKING
1173,STANDING
6404,WALKING_DOWNSTAIRS
2745,SITTING
965,WALKING_DOWNSTAIRS
8309,LAYING
4006,STANDING
5002,WALKING
355,STANDING
1916,STANDING
7966,WALKING_UPSTAIRS
1235,LAYING
1174,STANDING
4995,WALKING
2750,SITTING
576,SITTING
5190,WALKING
7940,WALKING_DOWNSTAIRS
5150,LAYING
736,SITTING
9028,WALKING_UPSTAIRS
5518,SITTING
7855,SITTING
5555,SITTING
766,LAYING
5324,SITTING
9880,WALKING_DOWNSTAIRS
5710,SITTING
9730,WALKING_UPSTAIRS
7509,WALKING_UPSTAIRS
4381,STANDING
7389,SITTING
332,WALKING_DOWNSTAIRS
7264,WALKING
7092,WALKING
4042,SITTING
8541,WALKING_UPSTAIRS
10136,STANDING
9680,WALKING
2155,WALKING
5859,WALKING_UPSTAIRS
9707,WALKING_DOWNSTAIRS
4859,WALKING_UPSTAIRS
9135,WALKING
7773,WALKING_DOWNSTAIRS
8967,WALKING
2975,WALKING
7313,WALKING_DOWNSTAIRS
2170,WALKING_DOWNSTAIRS
939,WALKING
3314,LAYING
392,SITTING
8616,LAYING
5007,WALKING
8792,LAYING
1801,SITTING
8161,SITTING
9221,STANDING
8778,LAYING
8490,WALKING
8298,SITTING
5781,LAYING
2285,LAYING
5475,STANDING
1843,WALKING
3384,WALKING_DOWNSTAIRS
9417,STANDING
8918,SITTING
4100,LAYING
9978,SITTING
839,WALKING_UPSTAIRS
8112,WALKING_UPSTAIRS
710,STANDING
1844,WALKING
4982,LAYING
2754,SITTING
7195,STANDING
2166,WALKING
3791,WALKING_UPSTAIRS
4242,SITTING
8961,WALKING
977,WALKING_UPSTAIRS
7858,SITTING
4668,WALKING_DOWNSTAIRS
5954,LAYING
6592,WALKING_DOWNSTAIRS
9831,LAYING
6144,LAYING
8566,STANDING
9076,SITTING
7974,STANDING
8408,STANDING
8762,SITTING
9671,WALKING
7233,LAYING
4075,LAYING
407,LAYING
10275,WALKING_UPSTAIRS
7030,LAYING
1015,STANDING
4243,SITTING
10091,WALKING_UPSTAIRS
1341,STANDING
4746,SITTING
1075,LAYING
1262,WALKING
3174,WALKING
7684,SITTING
5341,LAYING
9855,WALKING
7681,STANDING
5180,WALKING
4911,STANDING
7421,LAYING
9170,WALKING_DOWNSTAIRS
3695,LAYING
9795,SITTING
9241,SITTING
4169,WALKING_UPSTAIRS
2645,WALKING
9819,LAYING
1618,WALKING_UPSTAIRS
8564,STANDING
8346,WALKING
5388,WALKING
314,WALKING_UPSTAIRS
6122,SITTING
9851,WALKING
4254,SITTING
4804,WALKING
5355,LAYING
4979,LAYING
2462,LAYING
5263,WALKING_UPSTAIRS
2075,STANDING
3369,WALKING
381,SITTING
741,LAYING
9132,WALKING
1693,WALKING
4962,LAYING
1461,WALKING_UPSTAIRS
8434,SITTING
3614,STANDING
9694,WALKING
6150,LAYING
8066,WALKING
9007,WALKING_DOWNSTAIRS
4194,STANDING
7720,LAYING
2249,STANDING
7848,SITTING
8618,LAYING
7086,WALKING
360,STANDING
9538,WALKING_UPSTAIRS
4766,LAYING
8471,LAYING
1864,WALKING
2253,SITTING
7292,WALKING
2920,SITTING
5617,WALKING
9768,STANDING
2139,WALKING
2010,WALKING_DOWNSTAIRS
7019,SITTING
7894,LAYING
1710,WALKING
5908,SITTING
4748,SITTING
10127,STANDING
2994,WALKING
9133,WALKING
3965,STANDING
6408,WALKING_UPSTAIRS
359,STANDING
5660,WALKING_UPSTAIRS
1530,LAYING
9072,STANDING
3761,WALKING_DOWNSTAIRS
6688,LAYING
6715,LAYING
7045,LAYING
3963,WALKING_UPSTAIRS
1271,WALKING_DOWNSTAIRS
162,WALKING_UPSTAIRS
5342,LAYING
7635,WALKING_UPSTAIRS
8955,LAYING
5382,WALKING
3489,SITTING
4465,LAYING
378,SITTING
8039,LAYING
5162,LAYING
3968,STANDING
10068,WALKING_DOWNSTAIRS
404,LAYING
5686,STANDING
2932,SITTING
8450,SITTING
4185,STANDING
10229,WALKING
5005,WALKING
5384,WALKING
5348,LAYING
3458,STANDING
8470,LAYING
8216,WALKING_DOWNSTAIRS
4896,STANDING
8991,WALKING_DOWNSTAIRS
6071,STANDING
3088,STANDING
3564,WALKING_DOWNSTAIRS
6617,WALKING_UPSTAIRS
2770,LAYING
3701,LAYING
777,WALKING
10007,LAYING
5054,WALKING_UPSTAIRS
2721,STANDING
9128,LAYING
5483,STANDING
9764,STANDING
4541,STANDING
775,WALKING
357,STANDING
1657,SITTING
3698,LAYING
9372,WALKING_DOWNSTAIRS
9501,WALKING
8125,STANDING
4860,WALKING_UPSTAIRS
8711,WALKING_UPSTAIRS
6639,STANDING
5111,SITTING
7456,WALKING
8718,STANDING
2478,WALKING
3155,LAYING
6802,STANDING
7980,STANDING
8087,WALKING_DOWNSTAIRS
2639,WALKING
7247,LAYING
7009,SITTING
1314,WALKING_UPSTAIRS
273,WALKING
7947,WALKING_UPSTAIRS
4341,WALKING_DOWNSTAIRS
7490,WALKING_UPSTAIRS
8008,SITTING
2787,LAYING
2212,WALKING_UPSTAIRS
9069,STANDING
1426,WALKING_DOWNSTAIRS
3452,STANDING
9529,WALKING_UPSTAIRS
1347,SITTING
3047,WALKING_UPSTAIRS
2013,WALKING_DOWNSTAIRS
1001,STANDING
6622,WALKING_UPSTAIRS
6542,LAYING
7184,STANDING
10113,STANDING
686,WALKING_UPSTAIRS
1187,SITTING
4973,LAYING
4598,LAYING
5319,SITTING
6577,WALKING
5295,STANDING
3874,LAYING
5370,LAYING
4667,WALKING_DOWNSTAIRS
10037,WALKING
7186,STANDING
4539,STANDING
7948,WALKING_UPSTAIRS
4529,WALKING_UPSTAIRS
4488,WALKING
7173,STANDING
5212,WALKING_DOWNSTAIRS
6842,SITTING
9494,WALKING
4078,LAYING
5814,WALKING
5689,STANDING
2236,STANDING
5468,WALKING_UPSTAIRS
2506,WALKING_DOWNSTAIRS
3444,STANDING
2988,WALKING
4136,WALKING_DOWNSTAIRS
1102,WALKING
4802,WALKING
787,WALKING
1443,WALKING_DOWNSTAIRS
4526,WALKING_DOWNSTAIRS
6179,WALKING
8396,WALKING_UPSTAIRS
3080,STANDING
6815,STANDING
1178,STANDING
1149,WALKING_UPSTAIRS
7758,WALKING
5640,WALKING_DOWNSTAIRS
1232,LAYING
9432,SITTING
3826,SITTING
5630,WALKING_DOWNSTAIRS
9665,LAYING
2165,WALKING
3019,WALKING_DOWNSTAIRS
2526,WALKING_UPSTAIRS
1899,WALKING_UPSTAIRS
8345,WALKING
9782,SITTING
2866,WALKING_UPSTAIRS
8947,LAYING
4367,WALKING_UPSTAIRS
1210,LAYING
5502,STANDING
1076,LAYING
4500,WALKING_DOWNSTAIRS
2079,STANDING
7812,WALKING_UPSTAIRS
5023,WALKING_DOWNSTAIRS
1369,LAYING
4091,LAYING
9699,WALKING_DOWNSTAIRS
186,STANDING
7491,WALKING_UPSTAIRS
2502,WALKING_DOWNSTAIRS
9086,SITTING
5776,LAYING
6619,WALKING_UPSTAIRS
3412,WALKING_DOWNSTAIRS
2986,WALKING
3345,LAYING
935,WALKING
8664,WALKING_DOWNSTAIRS
2867,WALKING_UPSTAIRS
14,STANDING
979,WALKING_UPSTAIRS
4833,WALKING_DOWNSTAIRS
2347,WALKING_DOWNSTAIRS
9114,LAYING
5964,LAYING
4035,SITTING
4122,WALKING
3220,WALKING_UPSTAIRS
4625,LAYING
6398,WALKING
383,SITTING
2922,SITTING
4484,WALKING
8497,WALKING
2503,WALKING_DOWNSTAIRS
7853,SITTING
6483,STANDING
3368,WALKING
1195,SITTING
5560,LAYING
10175,LAYING
9279,LAYING
7245,LAYING
647,WALKING_DOWNSTAIRS
955,WALKING_DOWNSTAIRS
5481,STANDING
2896,STANDING
2379,WALKING_UPSTAIRS
2492,WALKING
6379,WALKING
6147,LAYING
986,WALKING_UPSTAIRS
7546,SITTING
6515,SITTING
2998,WALKING
2664,WALKING_DOWNSTAIRS
73,LAYING
9587,STANDING
2973,WALKING
8193,WALKING
9766,STANDING
673,WALKING_UPSTAIRS
1445,WALKING_DOWNSTAIRS
8623,LAYING
10057,WALKING_DOWNSTAIRS
3946,WALKING_UPSTAIRS
9812,LAYING
403,SITTING
10114,STANDING
2237,STANDING
9141,WALKING
7995,SITTING
6060,STANDING
2786,LAYING
6673,SITTING
738,SITTING
2305,WALKING
3993,STANDING
6571,WALKING
3953,WALKING_DOWNSTAIRS
592,LAYING
7415,LAYING
1790,SITTING
3362,WALKING
5056,WALKING_UPSTAIRS
1170,STANDING
9813,LAYING
951,WALKING_DOWNSTAIRS
3712,LAYING
1148,WALKING_UPSTAIRS
9959,SITTING
1326,STANDING
6590,WALKING_DOWNSTAIRS
6798,WALKING_UPSTAIRS
7405,SITTING
3685,LAYING
8197,WALKING
10287,WALKING_DOWNSTAIRS
4793,LAYING
6082,STANDING
8361,WALKING
8642,WALKING
1826,LAYING
5594,WALKING
886,SITTING
627,WALKING
7634,WALKING_UPSTAIRS
7139,WALKING_UPSTAIRS
5629,WALKING_DOWNSTAIRS
510,WALKING_UPSTAIRS
9702,WALKING_DOWNSTAIRS
3746,WALKING
7256,LAYING
3258,STANDING
1008,STANDING
5474,WALKING_UPSTAIRS
7522,STANDING
3967,STANDING
9226,STANDING
2364,WALKING_UPSTAIRS
1528,LAYING
1968,LAYING
4580,SITTING
2273,SITTING
2453,LAYING
9317,WALKING
6752,WALKING_DOWNSTAIRS
5667,WALKING_UPSTAIRS
6221,WALKING_UPSTAIRS
8622,LAYING
4304,WALKING
2163,WALKING
1605,WALKING_UPSTAIRS
7878,LAYING
4453,LAYING
51,LAYING
10200,LAYING
9217,STANDING
459,WALKING
2423,SITTING
1416,WALKING
6044,WALKING_UPSTAIRS
1821,LAYING
8595,SITTING
9373,WALKING_DOWNSTAIRS
940,WALKING
9861,WALKING
2124,LAYING
10216,WALKING
6886,LAYING
1845,WALKING
9886,WALKING_DOWNSTAIRS
1695,WALKING
5230,WALKING_DOWNSTAIRS
7560,LAYING
9468,LAYING
5439,WALKING_DOWNSTAIRS
8630,LAYING
8032,LAYING
5390,WALKING
1259,WALKING
5181,WALKING
3893,LAYING
6495,SITTING
4161,WALKING_DOWNSTAIRS
7039,LAYING
5889,STANDING
5436,WALKING_DOWNSTAIRS
4864,WALKING_DOWNSTAIRS
3141,LAYING
520,WALKING_UPSTAIRS
10042,WALKING
109,WALKING
4602,LAYING
8987,WALKING_DOWNSTAIRS
9919,STANDING
4954,LAYING
8615,LAYING
3210,WALKING_DOWNSTAIRS
8469,LAYING
8142,SITTING
3856,SITTING
10076,WALKING_UPSTAIRS
259,WALKING
10257,WALKING_DOWNSTAIRS
3944,WALKING_UPSTAIRS
8122,STANDING
1628,STANDING
3986,STANDING
6620,WALKING_UPSTAIRS
2964,LAYING
511,WALKING_UPSTAIRS
3028,WALKING_UPSTAIRS
1212,LAYING
502,WALKING_UPSTAIRS
2533,WALKING_UPSTAIRS
7665,STANDING
4799,WALKING
7309,WALKING_DOWNSTAIRS
3918,WALKING
5605,WALKING
2553,STANDING
4264,LAYING
5018,WALKING_DOWNSTAIRS
7467,WALKING_DOWNSTAIRS
3007,WALKING_DOWNSTAIRS
416,LAYING
8665,WALKING_DOWNSTAIRS
9178,WALKING_UPSTAIRS
8745,STANDING
5430,WALKING_DOWNSTAIRS
5129,SITTING
1874,WALKING_DOWNSTAIRS
10134,STANDING
7324,WALKING_UPSTAIRS
6026,WALKING_UPSTAIRS
4509,WALKING_UPSTAIRS
7081,WALKING
6810,STANDING
1276,WALKING_DOWNSTAIRS
5069,STANDING
202,SITTING
2798,LAYING
6347,LAYING
8562,STANDING
8,STANDING
2014,WALKING_DOWNSTAIRS
1643,STANDING
630,WALKING
2179,WALKING_DOWNSTAIRS
8527,WALKING_DOWNSTAIRS
7850,SITTING
1805,SITTING
9410,STANDING
6281,STANDING
1030,SITTING
9166,WALKING_DOWNSTAIRS
5250,WALKING_UPSTAIRS
8525,WALKING_DOWNSTAIRS
9818,LAYING
4959,LAYING
5785,WALKING
3937,WALKING_DOWNSTAIRS
4702,STANDING
7631,WALKING_UPSTAIRS
1430,WALKING_DOWNSTAIRS
4357,WALKING_UPSTAIRS
7824,STANDING
4824,WALKING
6246,STANDING
1625,STANDING
4533,WALKING_UPSTAIRS
5447,WALKING_UPSTAIRS
6254,STANDING
4291,LAYING
2196,WALKING_UPSTAIRS
2900,STANDING
3972,STANDING
2490,WALKING
4311,WALKING
5356,LAYING
8350,WALKING
443,WALKING
8860,WALKING_UPSTAIRS
1543,LAYING
7923,WALKING
3841,SITTING
6531,LAYING
3546,WALKING
2644,WALKING
481,WALKING_DOWNSTAIRS
4183,STANDING
3660,SITTING
1597,WALKING_DOWNSTAIRS
5000,WALKING
9985,LAYING
1978,LAYING
7675,STANDING
4905,STANDING
40,SITTING
5549,SITTING
198,STANDING
7277,WALKING
4821,WALKING
8215,WALKING_DOWNSTAIRS
5418,WALKING_DOWNSTAIRS
5887,STANDING
2498,WALKING_DOWNSTAIRS
7310,WALKING_DOWNSTAIRS
6462,STANDING
4784,LAYING
7346,WALKING_UPSTAIRS
183,STANDING
3381,WALKING_DOWNSTAIRS
10138,STANDING
9937,STANDING
10014,LAYING
3456,STANDING
1761,STANDING
9382,WALKING_UPSTAIRS
7938,WALKING_DOWNSTAIRS
6994,STANDING
5702,STANDING
697,STANDING
1515,SITTING
6589,WALKING_DOWNSTAIRS
2182,WALKING_DOWNSTAIRS
372,STANDING
7279,WALKING
6017,WALKING_DOWNSTAIRS
4394,STANDING
3354,WALKING
6153,LAYING
6130,LAYING
8464,LAYING
3973,STANDING
7470,WALKING_DOWNSTAIRS
7982,STANDING
8401,WALKING_UPSTAIRS
9268,SITTING
4557,STANDING
7880,LAYING
7802,WALKING_UPSTAIRS
7330,WALKING_UPSTAIRS
225,SITTING
9454,LAYING
2307,WALKING
5109,SITTING
654,WALKING_DOWNSTAIRS
9252,SITTING
3829,SITTING
5691,STANDING
5022,WALKING_DOWNSTAIRS
8404,WALKING_UPSTAIRS
9357,WALKING_DOWNSTAIRS
10122,STANDING
3896,LAYING
9792,SITTING
8169,LAYING
4233,SITTING
8117,STANDING
1152,WALKING_UPSTAIRS
7134,WALKING_UPSTAIRS
8400,WALKING_UPSTAIRS
3428,STANDING
5434,WALKING_DOWNSTAIRS
5817,WALKING_DOWNSTAIRS
5072,STANDING
4473,WALKING
10268,WALKING_UPSTAIRS
5854,WALKING_DOWNSTAIRS
1838,LAYING
2446,LAYING
5583,LAYING
3293,SITTING
8971,WALKING
8266,STANDING
767,WALKING
3259,STANDING
1375,LAYING
6448,WALKING_UPSTAIRS
5539,SITTING
9509,WALKING_DOWNSTAIRS
5705,STANDING
3139,LAYING
3583,WALKING_UPSTAIRS
10156,SITTING
3627,STANDING
920,WALKING
1990,WALKING
6511,SITTING
2812,WALKING
9103,LAYING
7883,LAYING
4409,SITTING
6079,STANDING
1140,WALKING_UPSTAIRS
110,WALKING
9582,STANDING
5850,WALKING_DOWNSTAIRS
2113,LAYING
5984,WALKING
3899,LAYING
2148,WALKING
6062,STANDING
8731,STANDING
1202,SITTING
6415,WALKING_UPSTAIRS
4065,LAYING
3393,WALKING_UPSTAIRS
1292,WALKING_UPSTAIRS
5902,STANDING
5901,STANDING
650,WALKING_DOWNSTAIRS
9572,STANDING
1825,LAYING
2837,WALKING_DOWNSTAIRS
2573,SITTING
373,STANDING
9392,STANDING
1410,WALKING
6823,STANDING
6357,LAYING
5254,WALKING_UPSTAIRS
1329,STANDING
180,STANDING
2106,SITTING
303,WALKING_UPSTAIRS
3310,SITTING
3025,WALKING_UPSTAIRS
1150,WALKING_UPSTAIRS
8130,STANDING
6604,WALKING_UPSTAIRS
2168,WALKING_DOWNSTAIRS
7822,STANDING
857,STANDING
7912,WALKING
2359,WALKING_UPSTAIRS
8692,WALKING_UPSTAIRS
5999,WALKING
8551,WALKING_UPSTAIRS
128,WALKING_DOWNSTAIRS
460,WALKING
6964,WALKING_UPSTAIRS
7121,WALKING_DOWNSTAIRS
1009,STANDING
9898,WALKING_UPSTAIRS
3093,SITTING
8209,WALKING
3240,STANDING
6888,LAYING
8856,WALKING_UPSTAIRS
2701,WALKING_UPSTAIRS
8969,WALKING
290,WALKING
1882,WALKING_DOWNSTAIRS
8300,SITTING
8466,LAYING
5829,WALKING_DOWNSTAIRS
5383,WALKING
8506,WALKING
6780,WALKING_UPSTAIRS
1706,WALKING
5395,WALKING
5953,LAYING
2717,STANDING
2200,WALKING_UPSTAIRS
9892,WALKING_DOWNSTAIRS
2978,WALKING
5542,SITTING
8867,WALKING_UPSTAIRS
7540,SITTING
53,LAYING
8157,SITTING
8291,SITTING
3582,WALKING_UPSTAIRS
6942,WALKING_DOWNSTAIRS
3938,WALKING_DOWNSTAIRS
10196,LAYING
8435,SITTING
3486,SITTING
6494,SITTING
2085,SITTING
5880,STANDING
3326,LAYING
4568,SITTING
10230,WALKING
9992,LAYING
2560,STANDING
648,WALKING_DOWNSTAIRS
3678,SITTING
3754,WALKING_DOWNSTAIRS
9269,SITTING
5761,LAYING
6980,STANDING
6948,WALKING_UPSTAIRS
3057,STANDING
3341,LAYING
2021,WALKING_DOWNSTAIRS
16,STANDING
1468,WALKING_UPSTAIRS
1196,SITTING
1146,WALKING_UPSTAIRS
2581,SITTING
9516,WALKING_DOWNSTAIRS
9180,WALKING_UPSTAIRS
6132,LAYING
4873,WALKING_UPSTAIRS
2972,LAYING
5524,SITTING
6631,STANDING
4657,WALKING_DOWNSTAIRS
8695,WALKING_UPSTAIRS
8869,WALKING_UPSTAIRS
4444,LAYING
1906,STANDING
2454,LAYING
570,SITTING
998,STANDING
8879,STANDING
1000,STANDING
7468,WALKING_DOWNSTAIRS
9237,STANDING
4352,WALKING_UPSTAIRS
3709,LAYING
3637,STANDING
6764,WALKING_DOWNSTAIRS
6081,STANDING
4685,WALKING_UPSTAIRS
9245,SITTING
5823,WALKING_DOWNSTAIRS
9305,WALKING
2758,SITTING
8899,STANDING
6703,LAYING
4099,LAYING
7827,STANDING
6958,WALKING_UPSTAIRS
5914,SITTING
3770,WALKING_UPSTAIRS
8009,SITTING
1398,WALKING
1159,STANDING
6032,WALKING_UPSTAIRS
9421,SITTING
4717,STANDING
6294,SITTING
9759,STANDING
6892,LAYING
7736,WALKING
6003,WALKING
2117,LAYING
9119,LAYING
1785,STANDING
5753,LAYING
9711,WALKING_DOWNSTAIRS
2099,SITTING
3417,WALKING_DOWNSTAIRS
3990,STANDING
3936,WALKING_DOWNSTAIRS
3547,WALKING
6909,WALKING
7307,WALKING_DOWNSTAIRS
1985,WALKING
2881,STANDING
4961,LAYING
8296,SITTING
4726,STANDING
3662,SITTING
5907,SITTING
9846,WALKING
5504,STANDING
3517,LAYING
9828,LAYING
8803,LAYING
98,WALKING
1753,WALKING_UPSTAIRS
4937,SITTING
2893,STANDING
1593,WALKING_DOWNSTAIRS
6176,WALKING
214,LAYING
9381,WALKING_UPSTAIRS
4584,SITTING
7854,SITTING
10221,WALKING
2741,SITTING
224,LAYING
9250,SITTING
5377,LAYING
3013,WALKING_DOWNSTAIRS
2252,SITTING
508,WALKING_UPSTAIRS
5588,LAYING
872,STANDING
2603,LAYING
9075,SITTING
1438,WALKING_DOWNSTAIRS
5482,STANDING
8136,STANDING
4026,SITTING
2834,WALKING_DOWNSTAIRS
4307,WALKING
9035,WALKING_UPSTAIRS
715,STANDING
3448,STANDING
2251,SITTING
6293,SITTING
3306,SITTING
3644,STANDING
8141,SITTING
8138,SITTING
9945,STANDING
2063,STANDING
4182,STANDING
8682,WALKING_DOWNSTAIRS
5176,WALKING
6178,WALKING
3535,WALKING
3725,WALKING
9727,WALKING_UPSTAIRS
5544,SITTING
4679,WALKING_UPSTAIRS
4729,SITTING
3391,WALKING_UPSTAIRS
8359,WALKING
9283,LAYING
3377,WALKING
